English,Bangla
Arkenstone,আর্কেনস্টোন
The Eater,ভক্ষক
In The Pipe,পাইপে
Putki,পুটকি
In The Ledger,লেজারে
On Sunday,রবিবারে
Bloom,ব্লুম
Briarios,ব্রিরিয়াস
Of Sex,সেক্সের
Olympus,অলিম্পাস
Jurassic,জুরাসিক
Victoria,ভিক্টোরিয়া
Touchstone,টাচস্টোন
Of Debt,ঋণের
At The Pole,মেরুতে
Infection,সংক্রমণ
The Customer,গ্রাহক
Hyderabadi,হায়দ্রাবাদি
Lutheran,লুথেরান
Ringler,রিংলার
Union,মিলন
Of Tin,টিনের
To The Body,শরীরের প্রতি
Mine Too,আমারও
Bhukmir,ভূকমির
Sparta,স্পার্টা
Will Break,ভেঙ্গে যাবে
Galgo,গালগো
Harris,হ্যারিস
Vronsky,ভ্রনস্কি
Leigh,লে
Hoarse Voice,কর্কশ কন্ঠ
Shalad'S,শালাদের এস
Cadillac,ক্যাডিলাক
Hollywood,হলিউড
Worked,কাজ করছে
To The Unit,ইউনিটের কাছে
Airport,বিমানবন্দর
Coming Out,বাইরে আসা
Stove,চুলা
The Investigator,তদন্তকারী
Cloned,ক্লোন করা হয়েছে
Played,খেলেছে
Hummingbird,হামিংবার্ড
Curien,কুরিয়েন
Thousands Of Times,হাজার হাজার বার
On The Grid,গ্রিডে
In The Bug,বাগ
Shotgun,শটগান
The Shirt,শার্টটি
Venomous,বিষাক্ত
Ashland,অ্যাশল্যান্ড
Beijing,বেইজিং
I Ran,আমি দৌড়ালাম
Violence,হিংসা
Fearless,নির্ভীক
Of Powder,পাউডার এর
Of Proposal,প্রস্তাবের
Friend Too,বন্ধুও
Forcefully,জোর করে
The Heroine,নায়িকা
The Ropes,দড়াদড়ি
Stevie,স্টেভি
Of The Border,অফ দ্য বর্ডার
At The Intersection,দ্য ইন্টারসেকশনে
In People,মানুষের মধ্যে
Brother Too,ভাইও
Bab-E-Ifrit,বাব-ই-ইফরিত
Ebenezer,ইবেনেজার
Caliban,ক্যালিবান
Expelled,বহিষ্কৃত
Of Sauce,সস এর
The Animals,প্রাণীগুলো
Prostitute,বেশ্যা
Would Not Have,থাকার কথা না
Of The Plan,পরিকল্পনার
The Maid,পরিচারিকা
Mashallah,মাশাল্লাহ
Don'T Get Up,উঠবেন না
At Ten O'Clock,দশ টা বাজে
Petronas,পেট্রোনাস
Of Magic,জাদু
Executive,কার্যনির্বাহী
Liter,লিটার
Of Moses,মুসার
The Men,মানুষগুলো
In Pronunciation,উচ্চারণে
Of Missiles,মিসাইল এর
The Lips,ঠোঁট
The Smuggler,চোরাকারবারি
The Jacket,জ্যাকেটটি
The Villa,ভিলা
Hands And Feet,হাত ও পা
Went Out,বাইরে গিয়ে
Lords,লর্ডস
Invented,উদ্ভাবিত
To The Partner,পার্টনারের কাছে
Of Cotton,তুলার
Underpants,আন্ডারপ্যান্ট
Snart,স্নার্ট
The Instrument,যন্ত্র
Of The Statue,মূর্তির
Of The Stadium,স্টেডিয়ামের
Margo,মার্গো
Morality,নৈতিকতা
Brandit,ব্র্যান্ডিট
A Riot,একটি দাঙ্গা
The Mosque,মসজিদটি
For Sake,জন্য
The Ninja,নিনজা
Luke'S,লুকের
Of Foot,ফুটের
Taheri,তাহেরী
Barnard,বার্নার্ড
Eighteen,আঠার
In The Round,রাউন্ডে
Trench,পরিখা
Patchy,প্যাচাল
Grunts,গ্রান্টস
The Sacks,বস্তা
Agreement,চুক্তি
Of The Employee,কর্মচারীর
The Test,পরীক্ষা
Whistler,হুইসলার
Pittsburgh,পিটসবার্গ
Fitting,মানানসই
Forgotten,ভুলে গেছে
Prevent,প্রতিরোধ
Ch14Fff2,Ch14Fff2
Patil,পাতিল
Philippa,ফিলিপা
Caesar'S,সিজারের এস
Countdown,কাউন্টডাউন
Of Blackwood,ব্ল্যাকউডের
Diplomatic,কূটনৈতিক
Briefing,সারসংক্ষেপ
Mukkam,মুকাম
Encode,এনকোড
In Cash,নগদ
The Explosion,বিস্ফোরণ
Blah-Blah,ব্লা-ব্লা
Kolchinsky,কোলচিনস্কি
To Deal With,সাথে ডিল করতে
Bell'S,বেলস
Awarded,পুরস্কৃত
Of Organisms,জীবের
Won'T Get,পাবে না
The Gown,গাউন
To Siddhartha,সিদ্ধার্থের কাছে
Of Democracy,গণতন্ত্রের
By Causing,কারণ দ্বারা
Communist,কমিউনিস্ট
The Ferry,ফেরি
Square,বর্গক্ষেত্র
Nagata,নাগাটা
The British,ব্রিটিশেরা
In The Heel,হিল মধ্যে
Jealous,ঈর্ষান্বিত
Trying To,করার চেষ্টা
Indians,ভারতীয়রা
The Ambassador,রাষ্ট্রদূত
In Bond,বন্ধনে
Lensher,লেন্সার
Stacey,স্টেসি
Even If You Know,এমনকি যদি আপনি জানেন
Huntly,হান্টলি
Sensitive,সংবেদনশীল
Prisoner,বন্দী
The Echo,ইকো
Damian,ড্যামিয়ান
Typewriter,টাইপরাইটার
Shrink,সঙ্কুচিত
Polly,পলি
Hundred Percent,পুরাপুরি
Garde,গার্ডে
Brothers,ভাই
Dramatic,নাটকীয়
Midnight,মধ্যরাত
To Fill,ভরা
Executioner,জল্লাদ
Today Too,আজকেও
Inappropriate,অনুপযুক্ত
Publicly,প্রকাশ্যে
Andrew,অ্যান্ড্রু
Vinny,ভিনি
The Baron,ব্যারন
Brandy,ব্র্যান্ডি
For That,যে জন্য
A Whisper,ফিশফিসানি
Filled Up,ভরাট
Minute Too,মিনিটও
Cocaine,কোকেন
At The Terminal,টার্মিনালে
Ration,রেশন
Muscle,পেশী
Of Arrest,গ্রেপ্তারের
Close To,কাছাকাছি
Of The Match,অফ দ্য ম্যাচ
Related,সম্পর্কিত
Well Equipped,সুসজ্জিত
Hacking,হ্যাকিং
So Big,এত বড়
Food Too,খাবারও
Waking Up,ঘুম থেকে জাগা
Nerve,স্নায়ু
I Would Die,আমি মরে যাব
The Butcher,কসাই
Unfortunate,দুর্ভাগ্যজনক
At The Auction,নিলামে
In The Archive,আর্কাইভে
Inferior,নিকৃষ্ট
To Tommy,টমির কাছে
Olympic,অলিম্পিক
Arjuna'S,অর্জুনের এস
Counterpart,কাউন্টারপার্ট
Steering,স্টিয়ারিং
Would Do,করতে হবে
Thread,থ্রেড
Based On,উপর ভিত্তি করে
The Rust,মরিচা
To Redeem,খালাস
The Trainer,প্রশিক্ষক
Letto,লেটো
Schedule,সময়সূচী
In Translation,অনুবাদে
A Few Years,কয়েক বছর
The Vest,পোশাক
Drowsiness,তন্দ্রা
Jasmine,জুঁই
The Rent,ভাড়া
Of The Radio,রেডিও এর
Zurich,জুরিখ
The Saw,করাতটি
Of The Lane,অফ দ্য লেন
Spiegel,স্পিগেল
Of The Network,নেটওয়ার্কের
To Push,ধাক্কা
The Camp,শিবির
Thirteen,তেরো
Saruman,সারুমান
Concentration,একাগ্রতা
Expected,প্রত্যাশিত
Passion,আবেগ
Of The Dam,বাঁধের
Plays,নাটক করে
Lamentation,বিলাপ
Magnetic,চৌম্বক
Pajamas,পায়জামা
Of Growth,বৃদ্ধির
Delayed,বিলম্বিত
Venice,ভেনিস
Superstition,কুসংস্কার
Confusing,বিভ্রান্তিকর
Waist,কোমর
Are You Ok,তুমি ঠিক আছ
Pamela,পামেলা
In Mumbai,মুম্বাইতে
The Tent,তাঁবু
Noticeable,লক্ষণীয়
In The Lake,দিঘির মধ্যে
Of Breath,নিঃশ্বাসের
Aningak,আনিংক
Of The Bride,নববধূর
Rosita,রোজিটা
Don'T See,দেখুন না
California,ক্যালিফোর্নিয়া
Practically,কার্যত
Opportunity Too,সুযোগও
Bloodsucker,রক্তচোষা
Of Care,অফ কেয়ার
Of Eclipse,Eclipse এর
Shushan,শুশান
Gandal,গন্ডল
Of Violence,সহিংসতার
To The Worker,কর্মীর কাছে
Of Ricoleti,রিকোলেটির
Ricks,রিক্স
Clara,ক্লারা
Pudovkin,পুডোভকিন
Unpleasant,অপ্রীতিকর
Stagel,স্টেজেল
Of Presence,উপস্থিতি
The Scarf,রুমালী
Maharaja,মহারাজা
Way Of Thinking,চিন্তাশৈলী
The Tuna,টুনা
Tirunelveli,তিরুনেলভেলি
Bairava,বৈরাভা
Tarnished,কলঙ্কিত
Of Reason,কারণ
Of The Elves,Elves এর
Surgeonfish,সার্জন ফিশ
On Horseback,ঘোড়ায় চড়ে
Of Bacchus,বাচ্চাসের
Of Gondar,গোন্ডারের
The Satellite,স্যাটেলাইট
Formality,আনুষ্ঠানিকতা
Of The Crew,ক্রু এর
Ramasamy,রামাসামি
Tajjab,তাজ্জাব
Summer:,গ্রীষ্ম:
Filling,ফিলিং
Shambal,শাম্বল
The Lead,লিড
Mayhem,মেহেম
On The Coast,তীরে
On The Server,সার্ভারে
Begins,শুরু হয়
In Care,যত্নের মধ্যে
Of The Project,প্রজেক্টের
Teammate,সতীর্থ
Specialist,বিশেষজ্ঞ
To The Student,ছাত্র থেকে
The Fact,ঘটনা
Myself Too,আমি নিজেও
Emotional,আবেগপ্রবণ
Halwa,হালুয়া
Of The Pole,মেরুর
Of The Present,বর্তমানের
Validity,বৈধতা
Visible,দৃশ্যমান
The Atlantic,আটলান্টিক
Unintended,অনিচ্ছাকৃত
Bharta,ভর্তা
Lumos,লুমোস
Andal,অন্ডাল
Faith Too,বিশ্বাসও
Abal'S,আবালের এস
Flogging,চাবুক মারা
Bartholomew Too,বার্থোলোমিউও
The Sabbath,সাবাথ
Folklore,লোককাহিনী
Front,সামনে
Reflective,প্রতিফলিত
Barton,বারটন
Fahim,ফাহিম
In Honor Of,সম্মানে
Senior.Fm1,সিনিয়র.Fm1
The Tyrant,অত্যাচারী
The Donkey,গাধা
Ridiculous,হাস্যকর
Of Angiers,Angiers এর
Alabama,আলাবামা
Reinforced,চাঙ্গা
Of Income,আয়ের
Gallantry,বীরত্ব
Far Away,অনেক দূরে
By Rubbing,ঘষা দ্বারা
Nobel,নোবেল
The Thugs,ঠগস
Ringholm,রিংহোম
Of Hughes,হিউজের
Bob'S,ববস
Of The Cycle,চক্রের
The Shooter,শ্যুটার
Krypton,ক্রিপ্টন
The Corpses,মৃতদেহ
Pleasant,আনন্দদায়ক
Ozaki,ওজাকি
It Didn'T Happen,এটা ঘটেনি
Even Come,এমনকি আসা
Nickname,ডাকনাম
Youtube,ইউটিউব
Maurya,মৌর্য
To The Robot,রোবটের কাছে
Genie'S,জিনি'স
Of Mercy,করুণার
The Guitar,গিটার
Of Cannon,কামানের
Of Hunger,ক্ষুধার
Amber,অ্যাম্বার
The Statue,ভাস্কর্য
Lively,প্রাণবন্ত
Hendry,হেন্ড্রি
Prasad,প্রসাদ
Dormant,সুপ্ত
Leaflet,লিফলেট
Bitten,কামড়েছে
Even During The Day,এমনকি দিনের বেলায়ও
Myralaiche,মাইরালাইছে
Slept,ঘুমিয়েছে
Unreal,অবাস্তব
Shaw'S,শ'স
Intonation,স্বরধ্বনি
Raymond,রেমন্ড
Prosperity,সমৃদ্ধি
Emerald,পান্না
Dharna,ধরনা
Algorithm,অ্যালগরিদম
Immutable,অপরিবর্তনীয়
Markovich,মার্কোভিচ
Papar,পাপার
Pull Out,খুলে ফেলা
Enjoyable,উপভোগ্য
Tracker,ট্র্যাকার
Joking,কৌতুক
Slippers,চপ্পল
Bachchan,বচ্চন
Amitabh,অমিতাভ
In Magic,জাদুতে
Isaacs,আইজ্যাকস
Of The Fbi,এফবিআই-এর
In General,সাধারণভাবে
Ireland,আয়ারল্যান্ড
In The Lobby,লবিতে
In The Council,কাউন্সিলে
Reinstatement,পুনঃস্থাপন
Quiet,শান্ত
Second,দ্বিতীয়
Destructive,ধ্বংসাত্মক
In Beauty,সৌন্দর্যে
In Pandora,প্যান্ডোরায়
Mm-Hm,মিম-হুম
Of The Monitor,মনিটরের
Tractor,ট্রাক্টর
Miami,মিয়ামি
Manners,বিনয়
Nerves,স্নায়ু
Of The Accuser,অভিযুক্তের
To Hang,ফাসি
To George,জর্জের কাছে
Aldrich,অলড্রিচ
King Kong,কিং কং
Doctrine,মতবাদ
Of Machinery,যন্ত্রের
Twombly,দ্বৈতভাবে
The Elbow,কনুই
Follower,অনুগামী
Of S.H.I.E.L.D,S.H.I.E.L.D এর
Stretcher,স্ট্রেচার
Juliet,জুলিয়েট
A Cold,একটি ঠান্ডা
Romeo,রোমিও
Action,কর্ম
Testicles,অণ্ডকোষ
Samuel,স্যামুয়েল
Tickling,সুড়সুড়ি
In The Race,রেসে
Constant,ধ্রুবক
Adventure,অ্যাডভেঞ্চার
The Leaves,পাতা গুলো
On The Farm,খামারে
Directive,নির্দেশিকা
Didn'T Read,পড়িনি
Of Style,স্টাইলের
If You Sit,আপনি বসলে
Contagious,সংক্রামক
On The Front,সামনে
Feminine,নারী সংক্রান্ত
Don'T Fall,পড়ে যাবেন না
Stuttering,তোতলাচ্ছে
Carla,কার্লা
Tulip,টিউলিপ
Fasting,উপবাস
Katukutu,কাতুকুতু
In The Lock,লক ইন
Sethuraman,সেথুরমন
Of Rockets,রকেটের
Thirst,তৃষ্ণা
Mufasar,মুফাসার
Is Walking,হাটছে
Morse,মোর্স
Column,কলাম
Not Getting,পাচ্ছি না
Garden,বাগান
Mayor'S,মেয়র এস
In Economics,অর্থনীতিতে
Poldeck,পোলডেক
Carrey,ক্যারি
Kunder,কুন্দর
Xander,জেন্ডার
In Krakow,ক্রাকোতে
The Owners,মালিকরা
The Treaty,চুক্তি
Warehouse,গুদাম
Of The Demon,অফ দ্যামন
The Honor,সম্মানটা
Fandi,ফান্দি
Wakes Up,জেগে উঠছে
Loneliness,একাকীত্ব
Natjira,নাটজিরা
The Frost,দ্য ফ্রস্ট
Calendar,ক্যালেন্ডার
Christians,খ্রিস্টান
Cyclops,সাইক্লোপস
The Bad,খারাপ জন
To The Machine,মেশিনের কাছে
Won'T Kill,মারবে না
Power Is,ক্ষমতা হল
Agnes,অ্যাগনেস
Of The Colony,কলোনির
The Abyss,রসাতল
In Kuwait,কুয়েতে
To Share,ভাগাভাগি করতে
To Stern,স্টার্নের কাছে
Of Dishes,ডিশ এর
The Finner,ফিনার
Of Shirt,শার্টের
Listed,তালিকাভুক্ত
Capitol,ক্যাপিটল
Unspeakable,অকথ্য
Purchase,ক্রয়
Ganjakhuri,গাঁজাখুরি
Frequency,ফ্রিকোয়েন্সি
Kambaan,কামবান
Was Watching,দেখছিলাম
Connect,সংযোগ করুন
In The Library,গ্রন্থাগারে
An Alliance,একটি জোট
Nitrogen,নাইট্রোজেন
Manimukta,মণিমুক্তা
Tear Up,টিয়ার আপ
Packing,মোড়ক
Ashwitz,অশ্বিতজ
Flavor,স্বাদ
Of Evangelism,ধর্মপ্রচারের
Joyful,আনন্দময়
Shiva'S,শিবের
In Step,ধাপে
Timoxy,টিমক্সি
Silas,সিলাস
Auntie,আন্টি
In Remembrance,স্মরণে
Bogus,বোগাস
Sarfaraz'S,সরফরাজের এস
Electromagnetic,ইলেক্ট্রোম্যাগনেটিক
Mutual,পারস্পরিক
Literature,সাহিত্য
Suggestion,সাজেশন
Dekchi,ডেকচি
The Gross,দ্য গ্রস
Ju-Hwan,জু-হোয়ান
Of Makhjum,মাখজুমের
Of The Manager,ম্যানেজারের
Condoms,কনডম
Spreading,পাতন
Dudley,ডুডলি
Petunia,পেটুনিয়া
Terrace,সোপান
Archaeologist,প্রত্নতত্ত্ববিদ
On Tour,ভ্রমণে
While,যখন
The Pod,শুঁটি
On The Screen,পর্দায়
In The Container,কন্টেইনারে
To The System,সিস্টেমের কাছে
This Day,আজ
Dubai,দুবাই
Audit,নিরীক্ষা
Of Mantra,মন্ত্রের
To Everything,সবকিছুর কাছে
In Egypt,মিশরে
Congenital,জন্মগত
Blossomed,পুষ্পিত
To Decrease,হ্রাস
Fiction,কল্পকাহিনী
Hannibal,হ্যানিবল
At The Festival,উৎসবে
Of The Lectern,দ্য লেকটার্নের
Moving Forward,অগ্রসর হচ্ছে
Soaked,ভিজে গেছে
Wicked,দুষ্ট
Danny'S,ড্যানি'স
Flint,চকমকি
Kutapi:,কুটাপি:
Catherine'S,ক্যাথরিনের এস
On The Website,ওয়েবসাইটে
Scope,ব্যাপ্তি
Volunteer,স্বেচ্ছাসেবক
On Tuesday,মঙ্গলবারে
Nigel,নাইজেল
Demons,রাক্ষস
The Underworld,অপরাধজগত
At The Embassy,দূতাবাসে
At The End Of The Day,দিনের শেষে
In The Common Room,কমন রুমে
Greyjoy,গ্রেজয়
Bowen,বোয়েন
Dakinism,ডাকিনিজম
Umbridge,আমব্রিজ
Desired,আকাঙ্ক্ষিত
Cruise,ক্রুজ
Malli,মল্লি
Of The Dock,ডক এর
The Lights,আলো
Kumbaya,কুম্বায়া
The Stones,পাথর
Won'T Stop,থামবে না
Seventy,সত্তর
Dhyaterika,ধ্যাতেরিকা
Activity,কার্যকলাপ
In The University,ইউনিভার্সিটিতে
In Gas,গ্যাসে
Cobalt,কোবাল্ট
Courtesy,শ্লীলতা
Quora,কোরা
In The Studio,স্টুডিওর মধ্যে
Heroine,নায়িকা
Of The Grail,গ্রেইল এর
Successfully,সফলভাবে
Speaking,কথা বলছি
Scodia,স্কোডিয়া
You Write,তুমি লেখ
Monday'S,সোমবারের
Database,তথ্যশালা
Disappeared,অদৃশ্য
The Uniform,ইউনিফর্ম
The Witnesses,সাক্ষীরা
The Banker,ব্যাংকার
To Lean,চর্বিহীন
T-Virus,টি-ভাইরাস
Of Silver,সিলভারের
Pair'S,পেয়ার'স
Will Search,অনুসন্ধান করবে
Of The Course,অফ দ্য কোর্স
Sadly,দুঃখজনকভাবে
Silva,সিলভা
Will Touch,স্পর্শ করবে
Encom,এনকম
Of Engagement,বাগদানের
I Will Teach,আমি শেখাব
Of Cards,কার্ডের
By Changing,পরিবর্তনের মাধ্যমে
Didn'T Listen,শুনিনি
Pussy,ভগ
Fathoms,ফ্যাথমস
Malayalam,মালায়লাম
Melville,মেলভিল
The Pacific,শান্ত
The Girl Too,মেয়েটিও
The User,ব্যবহারকারী
Disagree,অসম্মতি
Christy,ক্রিস্টি
With Help,সাহায্যের সাথে
Were Coming,আসছে
Graves,কবর
In The Final,পরিশেষে
Industrious,পরিশ্রমী
Export,রপ্তানি
Tumbria,টুম্বরিয়া
Ashraful,আশরাফুল
Marlenian,মার্লেনিয়ান
Did Not Eat,খাইনি
The Joint,যৌথ
Chhatrakhan,ছাত্রখান
Starving,ক্ষুধার্ত
The Sari,শাড়ি
Nick'S,নিক
Pseudonym,ছদ্মনাম
Of Diamond,ডায়মন্ডের
Hibernation,হাইবারনেশন
Prospector,প্রসপেক্টর
Jessica,জেসিকা
Vaccine,টিকা
The Friend,বন্ধুটি
The Drive,ড্রাইভ
Waves,তরঙ্গ
Jaguar,জাগুয়ার
Reply,উত্তর দিন
Terrorist,সন্ত্রাসী
Baloo,বালু
S.T.A.R.,S.T.A.R.
Thruster,থ্রাস্টার
The Strip,স্ট্রিপ
Shining,চকচকে
Khichcha,খইচ্চা
The Mortgage,বন্ধকী
Meister,মিস্টার
Status,স্ট্যাটাস
Infernal,নারকীয়
Is Writing,লেখা হয়
The Terrorists,সন্ত্রাসীরা
Sebastian,সেবাস্তিয়ান
Chrons,ক্রনস
In The Underground,আন্ডারগ্রাউন্ডে
Every Night,প্রতি রাতে
In A Hurry,তাড়ার মধ্যে
On The Drive,ড্রাইভে
Are You Playing,তুমি কি খেলছ
Inaccessible,দুর্গম
In The Wilderness,দ্য ওয়াইল্ডারনেসে
Scarecrow,কাকতাড়ুয়া
Sidhu,সিধু
Gunner,বন্দুকবাজ
Perichali,পেরিচালি
Chill,চিল
Falconry,বাজপাখি
Summer,গ্রীষ্ম
Woods,উডস
Reconciliation,মিলন
You Show,আপনি দেখান
Enrolled,নথিভুক্ত
Of The Lungs,ফুসফুসের
Black And White,সাদাকালো
To Celine,সেলিনের কাছে
The Purpose,উদ্দেশ্য
Condition Too,কন্ডিশনও
Ahamari,আহমারি
Will Handle,হ্যান্ডেল করবে
Menda,মেন্ডা
Anonymous,বেনামী
Coming Up,এরপর
The Address,ঠিকানাটি
Strangers,অপরিচিত
Cauldron,কলড্রন
Teenager,কিশোর
Stubbornness,জেদ
Kieren,কিরেন
The Whites,শ্বেতাঙ্গদের
The Grill,ভাজাভুজি
Junaid,জুনায়েদ
Paulson,পলসন
Garrison,গ্যারিসন
Of Being,হচ্ছে
Flamel,ফ্লামেল
Skirt,স্কার্ট
Rotated,ঘোরানো
Cassette,ক্যাসেট
Of Delivery,ডেলিভারির
Delay,বিলম্ব
Caravan,কাফেলা
Speechless,বাকহীন
Jingling,জিংলিং
Finnick,ফিনিক
Cruelty,নিষ্ঠুরতা
Onion,পেঁয়াজ
Of The Film,ফিল্মের
Brilliant,ব্রিলিয়ান্ট
Exposure,প্রকাশ
At The Tip,টিপ এ
The Lie,মিথ্যা
Valley,উপত্যকা
In Discussion,আলোচনায়
I Wrote,আমি লিখেছিলাম
Padfoot,প্যাডফুট
In Orleans,অরলিন্সে
Used To Go,যেতে ব্যবহার করা হয়
You Were Sleeping,তুমি ঘুমাতে ছিলে
A Month,এক মাস
Come Out,বাহিরে আস
Of The Valley,উপত্যকার
Clean Up,পরিষ্কার কর
Stroke,স্ট্রোক
Habudubu,হাবুডুবু
Sutler,সাটলার
Capsule,ক্যাপসুল
On Honeymoon,হানিমুনে
Place Of Birth,জন্মস্থান
Butcher'S,কসাই
Tilted,কাত
Mctagger,ম্যাকটাগার
Profession,পেশা
Expression,অভিব্যক্তি
Dothraki,ডথরাকি
Grumbling,গুঞ্জন
In Istanbul,ইস্তানবুলে
The Nurse'S,নার্স
In Silence,নীরবতা
Baldini,বলদিনি
I Returned,আমি ফিরে এসেছিলাম
Pulivetty,পুলিভেটি
The Barn,শস্যাগার
Denise'S,ডেনিস'স
Psyche,সাইকি
Unsolved,অমীমাংসিত
The Skeleton,কঙ্কাল
I'M Back,আমি ফিরে এসেছি
Stephan,স্টেফান
Trudy,ট্রুডি
To The Hand,হাতে
To Sherman,শেরম্যানের কাছে
Krang,ক্রাং
To Michael,মাইকেলের কাছে
Global,গ্লোবাল
Poignant,মর্মস্পর্শী
Insight,অন্তর্দৃষ্টি
Review,পুনঃমূল্যায়ন
Angelina'S,অ্যাঞ্জেলিনার এস
Nevada,নেভাদা
Of The Tail,অফ দ্য টেইল
Reflex,রিফ্লেক্স
The Fear,ভয়
Amazon,আমাজন
Puchi,পুচি
Bacon,বেকন
Teddy'S,টেডি'স
Ignorant,অজ্ঞ
Of Morales,মোরালেসের
Betsy,বেটসি
The Hound,দ্য হাউন্ড
Turtle,কচ্ছপ
Admiral,অ্যাডমিরাল
The Pitch,পিচ
Fellis,ফেলিস
Mike'S,মাইকের এস
Contracted,চুক্তিবদ্ধ
Infertile,বন্ধ্যা
Eliminated,নির্মূল
Shaky,নড়বড়ে
Orlando,অরল্যান্ডো
Of Soldiers,সৈনিকদের
At The Motel,মোটেলে
Lizzy,লিজি
Mohan,মোহন
Of Activity,কার্যকলাপ
Katie,কেটি
Rider,রাইডার
S.T.R.I.K.E.,S.T.R.I.K.E.
Santino,সান্তিনো
Of Opinion,মতামত
In The Flood,বন্যায়
Brothers And Sisters,ভাই এবং বোনেরা
Of The Gym,জিমের
Opium,আফিম
Forhad,ফরহাদ
At 8 O'Clock,8 টা বাজে
Galentine,গ্যালেনটাইন
Bog-Bog,বগ-বগ
On The Network,নেটওয়ার্কে
Parade,প্যারেড
Lotion,লোশন
Mendez,মেন্ডেজ
Opponent,প্রতিপক্ষ
Development,উন্নয়ন
Technical,প্রযুক্তিগত
Of The Hat,টুপির
Willie,উইলি
Pulley,পুলি
Used To Play,খেলার জন্য ব্যবহৃত
Of Oath,শপথের
Mentality,মানসিকতা
Programming,প্রোগ্রামিং
Laddu,লাড্ডু
Ghataghati,ঘাটাঘাটি
Kidney,কিডনি
In Range,সীমার মধ্যে
Heater,হিটার
The Experts,বিশেষজ্ঞরা
Swapnapuri,স্বপ্নপুরী
The Philosopher,দার্শনিক
On The Trigger,ট্রিগারে
Changer,পরিবর্তনকারী
Caretaker,তত্ত্বাবধায়ক
Dignam,ডিগনাম
Segment,সেগমেন্ট
Adornment,অলংকরণ
Ecstasy,পরমানন্দ
Thorne,থর্ন
Matabbari,মাতাব্বরী
Faithfulness,বিশ্বস্ততা
Taklu,টাকলু
This Much,এই অনেক
The Least,অন্তত
Of Kings,রাজাদের
Dessert,ডেজার্ট
Of Literature,সাহিত্যের
Bucks,বক্স
Aaaah,আআআআহ
Liclair,লিক্লেয়ার
Munich,মিউনিখ
Counted,গণনা করা হয়েছে
Kisco,কিসকো
The Fathers,পিতারা
Joyce,জয়েস
Didn'T Sleep,ঘুম আসেনি
Intercourse,মিলন
Transported,পরিবহন করা হয়েছে
The Feelings,অনুভূতিগুলি
Dad Too,বাবাও
Mahiya,মাহিয়া
Will Beat,হতে হবে
In Management,ব্যবস্থাপনায়
The Method,পদ্ধতি
Subtitles,সাবটাইটেল
Physicist,পদার্থবিদ
Unaco,ইউনাকো
Sanji,সানজি
To Charles,চার্লসের কাছে
Anton,অ্যান্টন
Critic,সমালোচক
The Boats,নৌকা
Elango,এলাঙ্গো
Of Mithra,মিত্রার
Poverty,দারিদ্র
Connor'S,কনর'স
Partner'S,অংশীদার
The Young People,তরুণ সমাজ
Scout,স্কাউট
Beioved,Beioved
Niloy,নিলয়
Did Not Return,ফিরে আসেনি
Of The Cartel,কার্টেলের
Yambo,ইয়াম্বো
Of Terror,সন্ত্রাসের
Sealand,সিল্যান্ড
Artemisia,আর্টেমিসিয়া
Caceres,ক্যাসেরেস
Sengalvarayan,সেঙ্গলভারায়ণ
Estate,এস্টেট
Shortcut,শর্টকাট
State Of The Art,শিল্প রাষ্ট্র
Devotion,ভক্তি
Senegal,সেনেগাল
More Than A Hundred,শতাধিক
On The Rock,শিলা উপর
Slippery,পিচ্ছিল
Hayabusa,হায়াবুসা
Encrypt,এনক্রিপ্ট করুন
Rivalry,প্রতিদ্বন্দ্বিতা
Doomsday,কেয়ামত
Kamal,কামাল
Millimeter,মিলিমিটার
Colotto,কোলোটো
Churchill,চার্চিল
Heroin,হেরোইন
The Medusa,মেডুসা
In Absence,অনুপস্থিতিতে
In The Void,শূন্যে
Octopus,অক্টোপাস
In The Introduction,ভূমিকা
States,রাজ্যগুলি
In Contact,যোগাযোগে
Mccoy,ম্যাককয়
Nightmare,দুঃস্বপ্ন
Anubis,আনুবিস
Selkie'S,সেলকি'স
Of The Crow,কাকের
Passage,উত্তরণ
Of Satellites,স্যাটেলাইটের
The Turban,পাগড়ি
To Gomez,গোমেজের কাছে
Rapidly,দ্রুত
Twissel,টুইসেল
Of The Message,বার্তা
To The East,পূর্বদিকে
Pepper,মরিচ
Maxima,ম্যাক্সিমা
By Running,রানিং দ্বারা
Of Mathematics,গণিতের
Ransom,মুক্তিপণ
Of Cells,কোষের
Facial,ফেসিয়াল
The Painter,চিত্রশিল্পী
Lelye,লেলি
The Basic,মৌলিক
The Thirst,তৃষ্ণা
Import,আমদানি
Of Isildur,ইসিলদুরের
Immortality,অমরত্ব
The Curtain,পরদা
Kolkata,কলকাতা
Of The Brand,ব্র্যান্ডের
The Season,ঋতু
Poker,জুজু
In The Wheel,দ্য হুইলে
In Chennai,চেন্নাইতে
Carver,কার্ভার
Bingo,বিঙ্গো
Surety,জামিন
Repeat,পুনরাবৃত্তি করুন
According To The Commentary,ভাষ্য অনুযায়ী
Conke,কনক
Pixie,পিক্সি
The Bakery,বেকারি
Of The Pool,পুলের
Handcuffs,হাতকড়া
You Were Born,ইউ ওয়ার বর্ন
Splendor,স্প্লেন্ডার
In Midday,মধ্যাহ্নে
Of Interest,সুদ
Unare,উনারে
The Switch,সুইচ
Long Life,দীর্ঘ জীবন
A Hypocrite,একজন ভন্ড
